index,word,difficulty,category
948,faul,0,emotions
949,ehrgeizig,0,emotions
950,geben,0,"other verbs"
951,Waschbecken,1,"at home"
952,schenken,0,"other verbs"
953,Schatz,1,"other Nouns"
954,süß,0,"eat and drink"
955,scharf,0,"eat and drink"
956,sauer,0,"eat and drink"
957,eklig,0,"other adjectives"
958,bitter,0,"eat and drink"
959,tot,0,"other adjectives"
960,spielen,0,"free time"
961,Dekoration,0,"at home"
962,Fernbedienung,1,"at home"
963,Lastwagen,0,travel
964,Tuch,1,"at home"
965,Polster,1,"at home"
966,Dose,0,"eat and drink"
967,Paket,0,"other Nouns"
968,Verbindung,1,"other Nouns"
969,Dach,0,"at home"
970,Vorhang,1,"at home"
971,Waage,1,"other Nouns"
972,Datum,0,time
973,Fahne,0,"other Nouns"
974,Durchschnitt,1,numbers
975,Fall,0,"other Nouns"
976,Gruppe,0,travel
977,Summe,0,numbers
978,Rang,0,numbers
979,NULL,0,general
980,führen,1,"other verbs"
981,Fläche,1,numbers
982,Gewitter,1,weather
983,prüfen,1,"other verbs"
984,Rennen,0,"free time"
985,Frosch,1,"humans and animals"
986,Krokodil,0,"humans and animals"
987,Fliege,1,"humans and animals"
988,Mücke,1,"humans and animals"
989,Schwein,1,"humans and animals"
990,Schaf,1,"humans and animals"
991,NULL,0,general
992,NULL,0,general
993,NULL,0,general
994,NULL,0,general
995,NULL,0,general
996,NULL,0,general
997,NULL,0,general
998,NULL,0,general
999,NULL,0,general
1000,NULL,0,general
